date,assignment_success,assignment_errors,submission_success,submission_errors,assignment_total,submission_total,assignment_success_rate,submission_success_rate
2025-08-25,4.0,0.0,0.0,0.0,4.0,0.0,100.0,0.0
2025-08-26,48.0,4.0,0.0,0.0,52.0,0.0,92.3076923076923,0.0
2025-08-27,6.0,0.0,0.0,0.0,6.0,0.0,100.0,0.0
2025-08-28,102.0,13.0,0.0,0.0,115.0,0.0,88.69565217391305,0.0
2025-08-29,34.0,8.0,34.0,0.0,42.0,34.0,80.95238095238095,100.0
2025-08-30,4.0,1.0,43.0,24.0,5.0,67.0,80.0,64.17910447761194
2025-08-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-09-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-09-02,4.0,0.0,0.0,0.0,4.0,0.0,100.0,0.0
2025-09-03,34.0,28.0,38.0,0.0,62.0,38.0,54.83870967741935,100.0
2025-09-04,48.0,22.0,126.0,4.0,70.0,130.0,68.57142857142857,96.92307692307692
2025-09-05,32.0,4.0,102.0,12.0,36.0,114.0,88.88888888888889,89.47368421052632
2025-09-06,24.0,7.0,94.0,144.0,31.0,238.0,77.41935483870968,39.49579831932773
2025-09-07,0.0,1.0,5.0,0.0,1.0,5.0,0.0,100.0
2025-09-08,9.0,0.0,112.0,3.0,9.0,115.0,100.0,97.3913043478261
2025-09-09,66.0,15.0,300.0,178.0,81.0,478.0,81.48148148148148,62.76150627615063
2025-09-10,88.0,46.0,546.0,10.0,134.0,556.0,65.67164179104478,98.20143884892086
2025-09-11,16.0,16.0,288.0,4.0,32.0,292.0,50.0,98.63013698630137
2025-09-12,40.0,8.0,188.0,0.0,48.0,188.0,83.33333333333334,100.0
2025-09-13,54.0,1.0,193.0,14.0,55.0,207.0,98.18181818181819,93.23671497584542
2025-09-14,0.0,0.0,4.0,1.0,0.0,5.0,0.0,80.0
2025-09-15,28.0,8.0,26.0,83.0,36.0,109.0,77.77777777777779,23.853211009174313
2025-09-16,80.0,4.0,110.0,6.0,84.0,116.0,95.23809523809523,94.82758620689656
2025-09-17,56.0,10.0,432.0,0.0,66.0,432.0,84.84848484848484,100.0
2025-09-18,56.0,6.0,538.0,4.0,62.0,542.0,90.32258064516128,99.2619926199262
2025-09-19,110.0,23.0,880.0,61.0,133.0,941.0,82.70676691729322,93.51753453772582
2025-09-20,69.0,10.0,335.0,40.0,79.0,375.0,87.34177215189874,89.33333333333333
2025-09-21,1.0,1.0,3.0,0.0,2.0,3.0,50.0,100.0
2025-09-22,46.0,51.0,584.0,444.0,97.0,1028.0,47.42268041237113,56.809338521400775
2025-09-23,180.0,32.0,1048.0,64.0,212.0,1112.0,84.90566037735849,94.24460431654677
2025-09-24,89.0,22.0,296.0,61.0,111.0,357.0,80.18018018018019,82.91316526610645
2025-09-25,101.0,7.0,404.0,6.0,108.0,410.0,93.51851851851852,98.53658536585365
2025-09-26,77.0,12.0,541.0,9.0,89.0,550.0,86.51685393258427,98.36363636363636
