type,assignment_id,assignment_name,teacher_name,error_message,response_code,processed_date
Assignment,1328aaa2-30eb-4486-a8be-928c2b0baaf3,Measurement In Real Life,Andrew Bradley,given GradebookColumnType does not have a default GradeScale,400,2025-09-21 06:03:09.343984
Assignment,137111ec-c9d5-46cb-b0f3-04ae97543188,Extra Practice for Diagnostic,Robert Flynn,given GradebookColumnType does not have a default GradeScale,400,2025-09-22 06:03:32.632673
Assignment,160906f6-2d66-4d33-bfd1-d20ad10221e7,HW 9/17,Robert Flynn,given GradebookColumnType does not have a default GradeScale,400,2025-09-19 06:03:33.862599
Assignment,174e2d5e-244a-4f49-aa56-cb1b6f270ffe,Measurement In Real Life,Andrew Bradley,given GradebookColumnType does not have a default GradeScale,400,2025-09-20 06:03:32.440604
Assignment,1dcb4d07-ec47-4556-a869-f64fd8def83f,Quiz Review,Robert Flynn,given GradebookColumnType does not have a default GradeScale,400,2025-09-22 06:03:31.210443
Assignment,21aced03-cf05-4389-956c-530178c3227e,Mousepad Design Project Instructions,James McNamara,given GradebookColumnType does not have a default GradeScale,400,2025-09-22 06:03:31.747686
Assignment,24cc4aa3-8d26-4f8d-996d-7f33e650b336,Share Your Perspective Video,Kristen Kenney,given GradebookColumnType does not have a default GradeScale,400,2025-09-19 06:03:35.311855
Assignment,24f1e664-fd11-4c5c-8704-8628dac97a44,HW 9/9,Robert Flynn,given GradebookColumnType does not have a default GradeScale,400,2025-09-22 06:03:34.150972
Assignment,27dd36ab-69c1-4e5d-8afa-a7bf234fb1fb,History of Flight Video,Tristin OConnor,given GradebookColumnType does not have a default GradeScale,400,2025-09-19 06:03:35.596170
Assignment,293d314c-cc47-407c-b9b5-89312a6c6ed8,T-Shirt Design Project,James McNamara,"ONE-00008; Error on saving bean com.x2dev.sis.model.beans.GradebookColumnDefinition; Business rule violation; An assignment with the GB column name ""T-Shirt De"" already exists for class CTE-DVC11-001.",400,2025-09-20 06:03:30.780913
Assignment,32fd401c-6ca8-4b15-9fe0-08140e465e06,HW 9/15,Robert Flynn,given GradebookColumnType does not have a default GradeScale,400,2025-09-22 06:03:30.945460
Assignment,35d4b371-96dc-4803-8b00-da86385fb735,CW-HW 9/17,Robert Flynn,given GradebookColumnType does not have a default GradeScale,400,2025-09-22 06:03:32.774644
Assignment,36374ebf-a3e1-47b1-b581-26ce1bb5a4ea,Quotes Practice 2,Abigail Mutschler,"ONE-00008; Error on saving bean com.x2dev.sis.model.beans.GradebookColumnDefinition; Business rule violation; An assignment with the GB column name ""Quotes Pra"" already exists for class ENG2012-002.",400,2025-09-20 06:03:31.135034
Assignment,3bdc117e-77eb-4cd5-a230-abf857016b07,1.1-1.3 Quiz,Robert Flynn,given GradebookColumnType does not have a default GradeScale,400,2025-09-22 06:03:30.954697
Assignment,4822d85d-1a1a-4455-997c-4b3c84a18eb8,Performance Task ,Robert Flynn,given GradebookColumnType does not have a default GradeScale,400,2025-09-22 06:03:32.426256
Assignment,491bc7c6-1e90-48e9-b3bd-531951f536e7,HW 9.3,Robert Flynn,given GradebookColumnType does not have a default GradeScale,400,2025-09-22 06:03:33.150631
Assignment,4be93c2d-f19b-4952-bb57-a286e18a85a1,Performance Task ,Robert Flynn,given GradebookColumnType does not have a default GradeScale,400,2025-09-22 06:03:31.529891
Assignment,4e6dcd9b-f67b-4912-af3a-6245c2d77cce,HW 9/5 ,Robert Flynn,given GradebookColumnType does not have a default GradeScale,400,2025-09-22 06:03:32.784615
Assignment,4f1ef60d-f85c-4d22-8d66-cf0202e5ffce,Extra Practice for Diagnostic,Robert Flynn,given GradebookColumnType does not have a default GradeScale,400,2025-09-22 06:03:32.056600
Assignment,504ade3a-fdd5-45ad-9160-9ce38ae163ae,Friendship Discussion ,Kristen Kenney,given GradebookColumnType does not have a default GradeScale,400,2025-09-19 06:03:34.189974
Assignment,50da7292-b778-4544-b203-3bc4f818e342,Share Your Perspective Video,Kristen Kenney,given GradebookColumnType does not have a default GradeScale,400,2025-09-19 06:03:35.593953
